wallet,totalPaid,balance,totalPaidFiat
0x7be99ca4e6893ef57cf349ab56307628100fea00,829.6532622697816,0,1106098.105598277
0x338f3ec014d7edacb98506881d1e18dc00980fdc,300,0,399961.5824707995
0xaf62d4322e35323da92a562c0e9a5568b3b30229,243.6,0,324768.8049662892
0xc4438399d8a212ea8a5ac27a52effe85355b715b,128.2,0,170916.91624252163
0xce4a1e86a5c47cd677338f53da22a91d85cab2c9,124.88264797164445,15501639.46245722,166494.20501960898
0xb93994e2efcaed3e88c538f68ec6a2587c3e2ebf,110,48048000,146652.58023929314
0xda1ec4da97019972759feda1285878b97fdcc014,100,0,133320.5274902665
0xa815e5973767298732afd5315119a7d289f0def0,100,0,133320.5274902665
0x198ad6c547d20d70f2f656a4f48e6c7cfb7b4325,100,23213342.880000003,133320.5274902665
0xaf28bcb48c40dbc86f52d459a6562f658fc94b1e,98.60872178432413,212088110.69276237,131465.66803427026
0x11517ae3326667c350eff7dcf9f220058617c665,89.74366532250743,0,119646.72799706628
0x32b2f69b2d2c27973fc28cabd153314f77ad8cdd,88.6,1892099.660794214,118121.9873563761
0x01c6c11aae5bda1a50a1bc74ea35b7d89cbd74d4,66.6,15460086.35808,88791.47130851749
0xae7f458667f1b30746354abc3157907d9f6fd15e,60.46094491380434,30123612.929321565,80606.8506846834
0x3cf08d6a9436a1798c18d24a70f5ad0bea31775e,55,0,73326.29011964657
0xae844a37b71e34b948de0cf7239e7aa337487da4,50,0,66660.26374513326
0x8da0a15786008f543a760701e2021f992e1c1cc5,50,0,66660.26374513326
0x210907198add03941460509bc7edc9924e28c33a,50,11606671.440000001,66660.26374513326
0xd4eebf543562fd906a805e4811c44e73d6895e11,47,12124921.18823821,62660.647920425254
0xed5960a454782c4c9c62aae6e22a8a50c185e50f,46,678137.7248000001,61327.44264552259
0x031fef8fa26bc5814ffa312b955af1a5cbd4655a,46,13206341.41928591,61327.44264552259
0x3a8ea49ef56a55d9bd157e7aad177ba396ac9eb2,44.63,3789765.927344,59500.95141890594
0x76a7b3898d598f400d51f00956687b3575c65b45,44.19550095238095,0,58921.674996680034
