timestamp,returnAmount,amount,caller,returnAmountFiat,date
1663415759000,0.008305733935100638,9000,0x1350f912f00f09b8fbbfd71ac73a286c0cd814c6,12.219428617513126,9/17/2022, 7:55:59 AM
1659859236000,0.009498529710873534,9285.337152,0x1e6ce729cbe78e5b71b5c56c7f8f273dc9505cbe,16.138062939280587,8/7/2022, 4:00:36 AM
1659783806000,0.006648733542684676,6499.7360063999995,0xa722823b266bd30bb812308dfd3f4242c99b2cc0,11.25827784785384,8/6/2022, 7:03:26 AM
1659536392000,0.7887771725723532,771156.3938124243,0xd9e63bfd42f66878a9151bb2b29c8895263329e4,1278.8770250326415,8/3/2022, 10:19:52 AM
1659149465000,1.0556366841557634,1000000,0xd9e63bfd42f66878a9151bb2b29c8895263329e4,1791.1885948031704,7/29/2022, 10:51:05 PM
1657439402000,0.21905264019735232,199999.99999999997,0xbd9d1d31a6a451f7a8ec61fc5fd491fd59d5f489,256.07532003740164,7/10/2022, 3:50:02 AM
1656143724000,0.013084691396923365,10631,0xc4effb48ea02f061d6ca9595b644cd1745a9935d,16.28110099527129,6/25/2022, 3:55:24 AM
1655124782000,0.1595730847142992,116066.7144,0x3a301f5858da5faeb424da2210f3f3a0d949d456,192.38055863071054,6/13/2022, 8:53:02 AM
1654363649000,1.0342152589011424,463914,0xdc66f4759f4bf0184580e26a4de697c8fd972810,1865.9949496589834,6/4/2022, 1:27:29 PM
1654322826000,1.003170080283293,450000,0xed35dfbd84f62d72689dd37dbd306df6c898b6b3,1809.9813238556676,6/4/2022, 2:07:06 AM
1654319067000,6.945882144808169,3115997.178363069,0x60f65e561ef0a4de89cd0ac3e2c05e0b1a838322,12532.188914819959,6/4/2022, 1:04:27 AM
1654271906000,3.983693586107222,1787254.1419342319,0xdc66f4759f4bf0184580e26a4de697c8fd972810,7078.9434599825845,6/3/2022, 11:58:26 AM
1654156440000,3.9459173251289186,1770407.9831579002,0x16e945ab70a5830f30123fd580d8c5c15d5ee645,7233.220961511069,6/2/2022, 3:54:00 AM
1653988881000,58.73753802197851,26369901.199703824,0x11ce93e2e306f25221562014923d55aee867f53c,114190.40048476116,5/31/2022, 5:21:21 AM
1653988196000,6.525949700949237,2929988,0x11ce93e2e306f25221562014923d55aee867f53c,12686.960247056324,5/31/2022, 5:09:56 AM
1653904136000,2.895266494835101,1300000,0xdc66f4759f4bf0184580e26a4de697c8fd972810,5778.768028393621,5/30/2022, 5:48:56 AM
1653835110000,1.0130324067991474,454879,0xed35dfbd84f62d72689dd37dbd306df6c898b6b3,1838.636758674743,5/29/2022, 10:38:30 AM
1653835038000,0.9963298673340251,447383.7149622357,0x0b83d0c0976b71724054e9f74a471f7d1c7abdc4,1808.3219308196078,5/29/2022, 10:37:18 AM
1653714535000,0.9641048663593923,432924.7371140572,0xb07ff18798d731413e8bfc56b19a17732253bd22,1734.130462395102,5/28/2022, 1:08:55 AM
1653710979000,1.3282025637003354,596428.5192693858,0x6b829b77993c8fea4296f5085341162bb7138c9a,2389.0311171662765,5/28/2022, 12:09:39 AM
1653691714000,6.814779547612157,3062735.04342902,0x584d5315493b530572ed2916e8d2b75c4d08c990,11754.647874456126,5/27/2022, 6:48:34 PM
1653653412000,2.1075830997215443,947222,0xa402364b61d16e8c4b9d683604a9a21e8f0d2967,3635.3189461663624,5/27/2022, 8:10:12 AM
1653653221000,21.244237082443675,9550001.93164449,0xee9495f6f6ee548c6d441c366a7021a7befc4acf,36643.66903153718,5/27/2022, 8:07:01 AM
1653561490000,11.483208741175781,5162740.36985349,0x96859678a7729e021b268d7c6a3626b504da368c,20761.290870924247,5/26/2022, 6:38:10 AM
1653429136000,2.12679380430959,956215,0xee9495f6f6ee548c6d441c366a7021a7befc4acf,4210.563729074385,5/24/2022, 5:52:16 PM
1653406068000,5.060474524518061,2275380,0xdc66f4759f4bf0184580e26a4de697c8fd972810,10018.57840739649,5/24/2022, 11:27:48 AM
1653346579000,0.08100649699967877,36423.6032,0xe61d2e525318ef904eab9fe212b660876e167cdd,159.95390560619265,5/23/2022, 6:56:19 PM
1653329679000,0.3002405721170258,135000,0xd337fccaec6ea113baacca3a41eb8766706a0706,592.8493875219226,5/23/2022, 2:14:39 PM
1653137207000,10.145135134278965,4458363.726044368,0xefa34ccfc44f529a7d38fed397039a23a73f7c1f,20068.569975332794,5/21/2022, 8:46:47 AM
1653127451000,5.688498705081975,2500000,0x84d7eb1ed1ba424b67f6f3fe3cd7a38386a28342,11252.687402043282,5/21/2022, 6:04:11 AM
1653102524000,0.5868756255774771,257926.032,0x7bd7dad2d1f75ae105ef20c7177c4345b69ae971,1160.9263359068973,5/20/2022, 11:08:44 PM
1653070282000,4.6302465467918426,2035081.375059135,0xdc66f4759f4bf0184580e26a4de697c8fd972810,9093.762265686872,5/20/2022, 2:11:22 PM
1653050628000,6.006189148010578,2640000.0000000005,0x84d7eb1ed1ba424b67f6f3fe3cd7a38386a28342,11796.1010677931,5/20/2022, 8:43:48 AM
1652994437000,2.039005203865207,896255.9999999999,0xee9495f6f6ee548c6d441c366a7021a7befc4acf,4126.637132670247,5/19/2022, 5:07:17 PM
1652940866000,0.02640546589807609,11606.67144,0xd4fd436787777f2afe7777cedfd25e3f0f272f19,53.440656195432716,5/19/2022, 2:14:26 AM
1652568855000,2.0422664216120547,897841,0xdc66f4759f4bf0184580e26a4de697c8fd972810,4215.706303353079,5/14/2022, 6:54:15 PM
1652566460000,0.024181708233420526,10631,0x1ae6912e08bb3e105a4f0a60f666376d3c7af380,49.91659205022217,5/14/2022, 6:14:20 PM
1652536599000,2.5512180226045316,1121620,0x303301fb1253ab7def0d8bbc626d63eec3d7731f,5266.299139674607,5/14/2022, 9:56:39 AM
1652521773000,0.3151061228372034,138534,0xf4844a06d4f995c4c03195afcb5aa59dcbb5b4fc,650.4513094924143,5/14/2022, 5:49:33 AM
1652460695000,2.659463067865492,1169308,0xdc66f4759f4bf0184580e26a4de697c8fd972810,5346.090027471901,5/13/2022, 12:51:35 PM
1652448270000,2.5044009223356896,1101171,0xdc66f4759f4bf0184580e26a4de697c8fd972810,5034.381923730261,5/13/2022, 9:24:30 AM
1652430900000,2.0430913053120205,898354,0xdc66f4759f4bf0184580e26a4de697c8fd972810,4107.05084967007,5/13/2022, 4:35:00 AM
1652430824000,0.11371291255371083,49999.99999999999,0x463e0a09440f25cf187056806ed0f968a2936fe3,228.58729460984736,5/13/2022, 4:33:44 AM
1652411472000,6.820378547562414,3000000,0x84d7eb1ed1ba424b67f6f3fe3cd7a38386a28342,13710.42079030325,5/12/2022, 11:11:12 PM
1652410593000,0.10554907993913219,46426.68576,0xe0909601e076d9e3d4901fa6186d99e0b935d344,212.17624357698674,5/12/2022, 10:56:33 PM
1652372859000,198.48776050438022,87478938.88638015,0x5a575a52eaebdc906d8087991cc445d27b13ed3e,390365.7140641422,5/12/2022, 12:27:39 PM
1652372029000,4.7001449133146656,2071574.4928395923,0xdc66f4759f4bf0184580e26a4de697c8fd972810,9243.77110522407,5/12/2022, 12:13:49 PM
1652355406000,3.5110946918063535,1547556.192,0xbe2e3d1bb4839cdd65e5aca8a7631d7bba9b4a2f,6905.26702014737,5/12/2022, 7:36:46 AM
1652337937000,2.633254768035103,1160667.144,0xf535c6e7315716749fe99ede3ee851b0cac7821c,5178.819969678411,5/12/2022, 2:45:37 AM
1652335271000,1.4384744673711478,634049.1650705095,0x32dd0756316b31d731aa6ae0f60b9b560e0ed92c,2829.0465426757783,5/12/2022, 2:01:11 AM
