Timestamp|Amount|Fee|Project ID|txHash|Currency (0 if ETH, 1 if USD)
1664202407|13000000000000000000000|238106642279243377|5|0xd4a9b0ecc93af432a0e037f1225448b358f387023e1487a2538599c6d029eae9|1
1664166431|4960957254665863937|236236059745993521|33|0x14bf174479e68460ff8611497fc9c87ec820d5d0fa3f8f5179cad95c5cda1256|0
1664152631|4563000000000000000000|85086149026627881|302|0x125d94032bc46450ce1936d43fc3c72b56e5d3eeb01a6506fcb66f75977b4475|1
1664146715|30000000000000000000000|567365488024418525|329|0x24758511cd779ede42a8d4ccd1ec757faa64e9236d4aff72a92f2bf3979ed62d|1
1664092163|174147500000000000000000|3196493076459963878|1|0xd0e0f4a5c9d8e343b68197e552d4d56f001306226473f4ca2cb2dc65962370e2|1
1663800539|2000000000000000001|48780487804878049|197|0x6cc8397ad472c95d455b3a530ee5a10c0c4b5b6a1528a50ef45a05973542fa67|0
1663636463|8062000000000000000000|143799507910523844|302|0x808e21006d01a72a900bd83b388859698596fb3e5ca4864ed73bf09730b01ca0|1
1663551479|30000000000000000000000|544091425142612564|329|0xd40f408a39dee37cafba09cefa300f28f32b553d9bde8cf09d567278ef70acc8|1
1663056228|80697000000000000000000|1146613563365542485|294|0xea2bd45e8e91df71bb71cdcf97a4ce36ffe77b354f7e3fd96529375189d2dadd|1
1663013967|512000000000000000000|7233621142660243|168|0x90da3725b7d8194b3878a1105d58834f9e8675b29dba2697fdd139eb1291ca0b|1
1663001614|11100800000000000000000|157971449965861970|5|0x5b5966d48f3900bf6e95f22245e1fd294ce19230dcdf2d3e0771f244c8c8a1f9|1
1662942687|30000000000000000000000|414897675515028044|329|0x030b5218b2316b36a410d6d96693c4824053009bac08d145c2151e468663b11a|1
1662932285|3753594037572863662|178742573217755413|33|0xd1e9c674f81cb62079c770c2b70252ce64f726a1d0ff52278b8d880c62ff104c|0
1662880342|154160000000000000000000|2142462350212821726|1|0x71fc26f58f57c3e4513f063741b007fba44a24d3218fb4441f40bba0b1b230a2|1
1662434028|4521000000000000000000|67386895409259552|302|0x00cf0b6e4eb4f22017eff61a1b67507fd34b08cd91f5969ecbce5a19c97d6902|1
